iter	Passed	Remaining
778	214333	60805
779	214610	60531
780	214866	60250
781	215132	59973
782	215441	59707
783	215721	59433
784	216026	59166
785	216302	58891
786	216578	58616
787	216881	58348
788	217115	58062
789	217436	57799
790	217695	57520
791	218003	57253
792	218245	56969
793	218558	56704
794	218818	56424
795	219084	56147
796	219399	55882
797	219661	55603
798	219972	55337
799	220252	55063
800	220536	54790
801	220829	54519
802	221055	54231
803	221379	53968
804	221624	53685
805	221923	53415
806	222210	53143
807	222499	52871
808	222796	52600
809	223070	52325
810	223383	52058
811	223701	51793
812	224004	51523
813	224266	51245
814	224543	50970
815	224856	50702
816	225120	50424
817	225431	50157
818	225711	49882
819	225993	49608
820	226258	49330
821	226560	49060
822	226845	48786
823	227113	48509
824	227423	48241
825	227704	47966
826	227985	47692
827	228294	47423
828	228587	47151
829	228888	46880
830	229105	46593
831	229419	46324
832	229702	46050
833	229984	45776
834	230292	45506
835	230555	45228
836	230826	44951
837	231081	44672
838	231390	44402
839	231678	44129
840	231971	43856
841	232238	43579
842	232479	43296
843	232778	43025
844	233063	42751
845	233361	42479
846	233690	42213
847	234012	41945
848	234300	41671
849	234558	41392
850	234848	41119
851	235160	40849
852	235426	40571
853	235747	40303
854	236037	40029
855	236295	39750
856	236595	39478
857	236857	39200
858	237123	38922
859	237396	38646
860	237682	38371
861	237992	38100
862	238294	37828
863	238611	37559
864	238905	37285
865	239203	37012
866	239462	36734
867	239774	36463
868	240076	36191
869	240351	35914
870	240622	35637
871	240946	35368
872	241273	35099
873	241584	34827
874	241835	34547
875	242147	34276
876	242378	33993
877	242678	33720
878	242945	33443
879	243245	33169
880	243531	32894
881	243804	32617
882	244117	32346
883	244411	32072
884	244675	31794
885	244945	31516
886	245198	31237
887	245480	30961
888	245769	30686
889	246071	30413
890	246312	30132
891	246617	29859
892	246840	29576
893	247146	29303
894	247437	29028
895	247724	28753
896	248023	28479
897	248248	28197
898	248540	27922
899	248803	27644
900	249128	27373
901	249386	27095
902	249642	26816
903	249914	26539
904	250198	26263
905	250506	25990
906	250789	25714
907	251086	25440
908	251345	25162
909	251685	24891
910	251967	24615
911	252230	24337
912	252502	24061
913	252775	23784
914	253068	23509
915	253332	23231
916	253635	22957
917	253950	22684
918	254215	22406
919	254526	22132
920	254759	21852
921	255070	21578
922	255337	21301
923	255611	21024
924	255930	20751
925	256196	20473
926	256495	20198
927	256776	19922
928	257071	19647
929	257363	19371
930	257635	19094
931	257958	18821
932	258185	18540
933	258480	18265
934	258761	17988
935	259019	17710
936	259304	17434
937	259608	17159
938	259911	16884
939	260172	16606
940	260479	16331
941	260754	16054
942	261048	15779
943	261315	15501
944	261593	15225
945	261868	14948
946	262142	14671
947	262443	14395
948	262724	14119
949	263020	13843
950	263311	13567
951	263534	13287
952	263848	13012
953	264122	12735
954	264425	12459
955	264736	12184
956	265020	11907
957	265336	11632
958	265668	11358
959	265976	11082
960	266284	10806
961	266557	10529
962	266863	10253
963	267144	9976
964	267404	9698
965	267683	9421
966	267960	9144
967	268270	8868
968	268547	8591
969	268853	8315
970	269112	8037
971	269400	7760
972	269694	7483
973	269993	7207
974	270307	6930
975	270570	6653
976	270844	6376
977	271110	6098
978	271404	5821
979	271684	5544
980	271916	5266
981	272220	4989
982	272482	4712
983	272798	4435
984	273069	4158
985	273328	3880
986	273600	3603
987	273884	3326
988	274194	3049
989	274452	2772
990	274779	2495
991	275069	2218
992	275325	1940
993	275613	1663
994	275894	1386
995	276193	1109
996	276458	831
997	276764	554
998	277040	277
999	277324	0
